page_url,image_src,status_code,alt_text,element_selector,section_hint,recommended_filename,likely_source_type,suggested_fix
https://morganics.store/password,https://morganics.store/cdn/shop/t/5/assets/morganics-logos-morganics-logo-header.png?v=43655105553629639841780975445,200,Morganics.store,div.shopify-section:nth-of-type(1) > section.morganics-password > header.morganics-password__bar > a.morganics-password__brand > img,header.morganics-password__bar,morganics-logos-morganics-logo-header.png,img[currentSrc],
https://morganics.store/password,https://morganics.store/cdn/shop/t/5/assets/morganics-logos-morganics-logo-header.png?v=43655105553629639841780975445,200,Morganics.store,div.shopify-section:nth-of-type(1) > section.morganics-password > header.morganics-password__bar > a.morganics-password__brand > img,header.morganics-password__bar,morganics-logos-morganics-logo-header.png,img[src],
https://morganics.store/password,https://morganics.store/cdn/shop/t/5/assets/morganics-morganics-hero-plant-left.png?v=89880370726884630441780975445,200,,body > div.shopify-section:nth-of-type(1) > section.morganics-password > div.morganics-password__stage:nth-of-type(1) > img.morganics-password__plant.morganics-password__plant--left:nth-of-type(1),section.morganics-password,morganics-morganics-hero-plant-left.png,img[currentSrc],
https://morganics.store/password,https://morganics.store/cdn/shop/t/5/assets/morganics-morganics-hero-plant-left.png?v=89880370726884630441780975445,200,,body > div.shopify-section:nth-of-type(1) > section.morganics-password > div.morganics-password__stage:nth-of-type(1) > img.morganics-password__plant.morganics-password__plant--left:nth-of-type(1),section.morganics-password,morganics-morganics-hero-plant-left.png,img[src],
https://morganics.store/password,https://morganics.store/cdn/shop/t/5/assets/plant-right.png?v=184109669028880381051780974351,200,,body > div.shopify-section:nth-of-type(1) > section.morganics-password > div.morganics-password__stage:nth-of-type(1) > img.morganics-password__plant.morganics-password__plant--right:nth-of-type(2),section.morganics-password,plant-right.png,img[currentSrc],
https://morganics.store/password,https://morganics.store/cdn/shop/t/5/assets/plant-right.png?v=184109669028880381051780974351,200,,body > div.shopify-section:nth-of-type(1) > section.morganics-password > div.morganics-password__stage:nth-of-type(1) > img.morganics-password__plant.morganics-password__plant--right:nth-of-type(2),section.morganics-password,plant-right.png,img[src],
https://morganics.store/password,https://morganics.store/cdn/shop/t/5/assets/stone.png?v=83792914448217143861780974396,200,,body > div.shopify-section:nth-of-type(1) > section.morganics-password > div.morganics-password__stage:nth-of-type(1) > img.morganics-password__stone:nth-of-type(3),section.morganics-password,stone.png,img[currentSrc],
https://morganics.store/password,https://morganics.store/cdn/shop/t/5/assets/stone.png?v=83792914448217143861780974396,200,,body > div.shopify-section:nth-of-type(1) > section.morganics-password > div.morganics-password__stage:nth-of-type(1) > img.morganics-password__stone:nth-of-type(3),section.morganics-password,stone.png,img[src],
https://morganics.store/password,https://morganics.store/cdn/shop/t/5/assets/dryfruit-pile.png?v=119583356495938548511780974389,200,,body > div.shopify-section:nth-of-type(1) > section.morganics-password > div.morganics-password__stage:nth-of-type(1) > img.morganics-password__pile:nth-of-type(4),section.morganics-password,dryfruit-pile.png,img[currentSrc],
https://morganics.store/password,https://morganics.store/cdn/shop/t/5/assets/dryfruit-pile.png?v=119583356495938548511780974389,200,,body > div.shopify-section:nth-of-type(1) > section.morganics-password > div.morganics-password__stage:nth-of-type(1) > img.morganics-password__pile:nth-of-type(4),section.morganics-password,dryfruit-pile.png,img[src],
